B29,Account Settings,Account Addition,"B29 or B33
• Permission Management Function
Parent account can individually configure function-specific permissions for child accounts (property management, customer service, payment, etc.)※Agent Access seat
• Lead Assignment Function
Parent account centrally manages all inquiries and manually assigns them to child accounts. Supports dual assignment system with primary and secondary representatives, including reassignment and handover capabilities.
• Performance Tracking Function
Tracks basic performance data for each child account (number of contracts, response speed, number of cases handled, etc. *to be confirmed), with individual and period-based report download functionality.
• Operation History Management Function
Complete recording of ""who performed what operation when and what communication was made,"" with history tracking capability for handovers.
*When logging in from a second location with the same account, the previously logged-in session will be automatically logged out.
*For Premium CRM users, refer to B18.",Period 1
B30,Transaction Management,Transaction Data Input,"Transaction date, transaction price (excluding brokerage fees) input",Period 1
B31,Paid Features,Paid Features,"Purchase and Manage Paid Features: Add features to your account by putting them in your cart and completing the purchase.

Confirming Usage Plans, Features, Periods, and Counts: Displays the purchased features, expiration dates, available usage counts, etc.

Automatic Renewal: You will be notified via in-site chat and email 30 and 7 days before your contract expires (no notification will be sent in the contract start month).

Cancellation Process: The cancellation option will be placed in a less prominent area of the settings screen, similar to Google's cancellation process.

Paid Features: For details on paid features, please refer to the function table.

I have integrated the information you mentioned in B27.",Period 1
B32,Lead Management,Needs Search & Proposal,"・Agent Feature Details:This feature allows real estate agents to search and save posts from clients outlining their desired property requirements (e.g., location, layout, etc.). Agents can then propose suitable properties to these clients.
・Paid Feature:The ability to send a proposal is a paid feature for agents.
・Privacy Protection:Client usernames will only be displayed as initials. The full name of the client will not be shown to agents.",Period 1
B33 ,Team Management,Agent Admin Team Management and Performance Tracking,"Agent admin can control access of his salesperson users, Agent admin can assign/route new leads to his salespoerson users, Agent admin can track performance and download report of performance of each salesperson user. For Premium CRM users, see B18 ",Period 1
B34,Authenticator,Authenticator,"Log in: Agent log in to the portal with their valid username and password.
Forgot password: Agent use this page to reset new password for the account.",Period 1
,Management,Dashboard table,"List of property sold, Offers",Period 1
,Management,Dashboard chart,"List of property sold, Offers",Period 1
,Management,Export data table,"Export to CSV, ... file",Period 1
B34,Management,Ad details,,Period 2
B35,Management,Comment offers,,Period 1
B36,After Sales,Dashboard table,"Task by status, Title Deeds by Status",Period 1
B37,After Sales,Dashboard chart,"Task by status, Title Deeds by Status",Period 1
B38,After Sales,Export data table,"Export to CSV, ... file",Period 1
,After Sales,Edit Task,,Period 1
,After Sales,Create Task,,Period 1
,After Sales,Delete Task,,Period 1
,After Sales,Comment Task,,Period 1
,Contact and organisation,Contact list,,Period 1
,Contact and organisation,Contact filter,"Country, Country of nationality, City, Assigned to",Period 1
,Contact and organisation,Contact sort,,Period 1
,Contact and organisation,Contact details,,Period 1
,Contact and organisation,Edit Contact,,Period 1
,Contact and organisation,Create Contact,,Period 1
,Contact and organisation,Delete Contact,,Period 1
,After Sales,Ad details,,Period 1
B39,Contact and organisation,Role and permission for contacts,,Period 1
B40,Contact and organisation,Activity - Add,,Period 1
B41,Contact and organisation,Activity - View history,,Period 1
B42,Contact and organisation,Activity - Edit,,Period 1
B43,Contact and organisation,Activity - Schedule,,Period 1
,Project,Project List,,Period 1
,Project,Project Filter,,Period 1
,Project,Project Sort,,Period 1
,Project,Project Detail ,,Period 1
,Project,Project Edit,,Period 1
,Project,Project Delete,,Period 1
,Project,Project Activities,,Period 1
,Project,Link Property,,Period 1
,Offers,Offer list,,Period 1
,Offers,Offer details,,Period 1
,Offers,Edit offers,,Period 1
,Offers,Create offers,,Period 1
,Offers,Delete offers,,Period 1
,Agreements,Agreement list,,Period 1
,Agreements,Agreement details,,Period 1
,Agreements,Edit Agreement,,Period 1
,Agreements,Create Agreement,,Period 1
,Agreements,Delete Agreement,,Period 1
B44,Calendar,viewing Calendar,,Period 1
B45,Activity,viewing List,,Period 1
B46,Activity,Viewing Details,,Period 1
B47,Activity,Edit Viewing,,Period 1
B48,Activity,Create Viewing,,Period 1
B49,Activity,Delete Viewing,,Period 1
B50,Activity,Task List,,Period 1
B51,Activity,Task Details,,Period 1
B52,Activity,Edit Task,,Period 1
B53,Activity,Create Task,,Period 1
B54,Activity,Delete Task,,Period 1
B55,Activity,Jobs List,,Period 2
B56,Activity,Jobs Details,,Period 2
B57,Activity,Edit Jobs,,Period 2
B58,Activity,Create Jobs,,Period 2
B59,Activity,Delete Jobs,,Period 2
B60,Activity,Call List,,Period 1
B61,Activity,Call Details,,Period 1
B62,Activity,Edit Call,,Period 2
B63,Activity,Create Call,"No need the actual Calling Function, just as an activity ",Period 2
B64,Activity,Delete Call,,Period 2
B65,Activity,Email List,,Period 1
B66,Activity,Email Details,,Period 1
B67,Activity,Edit Email,,Period 1
B68,Activity,Create Email,,Period 1
B69,Activity,Delete Email,,Period 1
B70,Activity,SMS List,,Period 2
B71,Activity,SMS Details,,Period 2
B72,Activity,Edit SMS,,Period 2
B73,Activity,Create SMS,,Period 2
B74,Activity,Delete SMS,,Period 2
B75,Activity,Comments List,,Period 1
B76,Activity,Comment Details,,Period 1
B77,Activity,Edit Comment,,Period 1
B78,Activity,Create Comment,,Period 1
B79,Activity,Delete Comment,,Period 1
B80,Brokers & External Agents,Brokers & External Agents List,,Period 2
B81,Brokers & External Agents,Filter Brokers & External Agents ,,Period 2
B82,Brokers & External Agents,Brokers & External Agents Details,,Period 2
B83,Brokers & External Agents,Edit Brokers & External Agents,,Period 2
B84,Brokers & External Agents,Create Brokers & External Agents,,Period 2
B85,Brokers & External Agents,Delete Brokers & External Agents,,Period 2
B86,Campaigns,Campaigns List,,Period 2
B87,Campaigns,Filter Campaigns ,,Period 2
B88,Campaigns,Campaign Details,,Period 2
B89,Campaigns,Edit Campaign,,Period 2
B90,Campaigns,Create Campaign,,Period 2
B91,Campaigns,Delete Campaign,,Period 2
,Admin Panel,User Management,Users List,Period 1
,Admin Panel,User Management,User Details,Period 1
,Admin Panel,User Management,Edit User,Period 1
,Admin Panel,User Management,Create User,Period 1
,Admin Panel,User Management,Delete User,Period 1
,Admin Panel,Group,Group List,Period 1
,Admin Panel,Group,Group Details,Period 1
,Admin Panel,Group,Edit Group,Period 1
,Admin Panel,Group,Create Group,Period 1
,Admin Panel,Group,Delete Group,Period 1
B92,Admin Panel,Roles,Roles List,Period 1
B93,Admin Panel,Roles,Role Details,Period 1
B94,Admin Panel,Roles,Edit Role,Period 1
B95,Admin Panel,Roles,Create Role,Period 1
B96,Admin Panel,Roles,Delete Role,Period 1
